iter	Passed	Remaining
0	147	147501
1	149	74436
2	150	50092
3	151	37816
4	152	30367
5	155	25805
6	156	22233
7	157	19591
8	159	17538
9	160	15906
10	161	14546
11	163	13420
12	164	12467
13	165	11637
14	166	10905
15	166	10266
16	169	9772
17	170	9278
18	170	8824
19	171	8414
20	172	8044
21	173	7707
22	174	7399
23	174	7108
24	175	6846
25	176	6601
26	176	6375
27	177	6164
28	178	5970
29	179	5788
30	179	5616
31	180	5451
32	180	5299
33	181	5156
34	182	5018
35	182	4887
36	184	4793
37	184	4676
38	185	4564
39	185	4458
40	186	4356
41	186	4259
42	187	4167
43	187	4079
44	188	3994
45	188	3912
46	189	3833
47	189	3758
48	189	3685
49	190	3616
50	190	3547
51	191	3483
52	191	3421
53	191	3362
54	192	3307
55	192	3252
56	193	3198
57	193	3147
58	194	3097
59	194	3049
60	195	3002
61	195	2957
62	195	2913
63	196	2870
64	196	2829
65	197	2789
66	197	2749
67	197	2711
68	199	2688
69	199	2653
70	200	2618
71	200	2584
72	200	2550
73	201	2519
74	201	2487
75	202	2457
76	202	2428
77	202	2399
78	203	2370
79	203	2342
80	204	2316
81	204	2290
82	204	2264
83	205	2240
84	205	2215
85	206	2192
86	206	2169
87	207	2146
88	207	2124
89	207	2102
90	208	2081
91	208	2060
92	209	2040
93	209	2020
94	210	2000
95	210	1981
96	210	1962
97	211	1944
98	211	1926
99	212	1908
100	212	1890
101	213	1882
102	214	1866
103	214	1850
104	215	1834
105	215	1818
106	216	1802
107	216	1785
108	216	1771
109	217	1756
110	217	1741
111	217	1727
112	218	1713
113	218	1699
114	219	1686
115	219	1673
116	219	1659
117	220	1647
118	220	1634
119	221	1622
120	221	1610
121	221	1596
122	222	1585
123	222	1573
124	223	1561
125	223	1550
126	223	1539
127	224	1528
128	224	1517
129	225	1507
130	225	1496
131	226	1486
132	226	1476
133	226	1466
134	227	1456
135	228	1451
136	228	1442
137	229	1432
138	229	1423
139	230	1414
140	230	1405
141	231	1396
142	231	1386
143	231	1378
144	232	1369
145	232	1361
146	233	1352
147	233	1344
148	233	1335
149	234	1327
150	234	1319
151	235	1311
152	235	1303
153	235	1296
154	236	1288
155	236	1280
156	237	1273
157	237	1266
158	237	1258
159	238	1251
160	238	1244
161	239	1237
162	239	1230
163	239	1223
164	240	1216
165	240	1209
166	241	1202
167	241	1196
168	241	1189
169	242	1183
170	243	1181
171	244	1175
172	244	1169
173	245	1163
174	245	1157
175	245	1150
176	246	1145
177	246	1139
178	247	1133
179	247	1127
180	247	1121
181	248	1115
182	248	1110
183	249	1105
184	249	1100
185	250	1094
186	250	1089
187	250	1083
188	251	1078
189	251	1074
190	252	1068
191	252	1063
192	253	1058
193	253	1053
194	254	1048
195	254	1043
196	254	1038
197	255	1033
198	255	1028
199	255	1023
200	256	1019
201	256	1014
202	257	1009
203	257	1005
204	258	1004
205	259	1000
206	259	995
207	260	991
208	260	986
209	261	982
210	261	978
211	261	973
212	262	969
213	262	965
214	263	961
215	263	957
216	264	952
217	264	948
218	264	944
219	265	940
220	265	936
221	266	932
222	266	928
223	266	924
224	267	920
225	267	917
226	268	912
227	268	908
228	268	905
229	269	901
230	269	897
231	270	893
232	270	890
233	270	886
234	271	883
235	271	879
236	271	875
237	272	872
238	272	868
239	274	867
240	274	864
241	274	861
242	275	857
243	275	854
244	276	850
245	276	847
246	276	844
247	277	841
248	277	837
249	278	834
250	278	831
251	278	828
252	279	824
253	279	821
254	280	818
255	280	815
256	280	812
257	281	809
258	281	806
259	282	803
260	282	800
261	283	797
262	283	794
263	283	791
264	284	788
265	284	785
266	285	782
267	285	779
268	285	777
269	286	774
270	286	771
271	287	768
272	287	765
273	288	764
274	289	762
275	289	759
276	290	757
277	290	754
278	290	751
279	291	748
280	291	746
281	292	743
282	292	741
283	292	738
284	293	735
285	293	733
286	294	730
287	294	728
288	295	725
289	295	723
290	295	720
291	296	718
292	296	715
293	296	713
294	297	710
295	297	708
296	298	705
297	298	703
298	299	701
299	299	698
300	299	696
301	300	694
302	300	691
303	301	689
304	301	687
305	301	684
306	302	682
307	302	680
308	304	679
309	304	677
310	304	675
311	305	673
312	305	671
313	309	675
314	312	678
315	315	682
316	318	687
317	323	692
318	323	691
319	324	689
320	324	687
321	325	684
322	325	682
323	326	680
324	326	678
325	327	676
326	327	674
327	327	671
328	328	669
329	328	667
330	329	665
331	329	663
332	330	661
333	330	658
334	330	656
335	331	654
336	331	652
337	332	650
338	333	650
339	334	648
340	334	646
341	335	644
342	335	642
343	335	640
344	336	638
345	336	636
346	337	634
347	337	632
348	337	630
349	338	628
350	338	626
351	339	624
352	339	622
353	339	620
354	340	618
355	340	616
356	341	614
357	341	612
358	341	610
359	342	608
360	342	606
361	343	604
362	343	603
363	344	601
364	344	599
365	344	597
366	345	595
367	345	593
368	346	591
369	346	590
370	347	588
371	347	586
372	348	586
373	349	585
374	349	583
375	350	581
376	350	579
377	351	577
378	351	576
379	351	574
380	352	572
381	352	570
382	353	568
383	353	567
384	354	565
385	354	563
386	354	562
387	355	560
388	355	558
389	356	556
390	356	555
391	356	553
392	357	551
393	357	550
394	358	548
395	358	546
396	358	545
397	359	543
398	359	541
399	360	540
400	360	538
401	360	536
402	361	535
403	361	533
404	362	532
